shrid2,Ycons,Ylowinc,Ymidinc,wave,D,R_PC1,R_PC1_scaled,clusters
11-28-532-04312-569207,1,0,1,Holdout,NA,44.11827875371283,0.905416899188482,NARNOOR ADILABAD
11-28-532-04312-569208,1,1,1,Holdout,NA,34.710983116265126,0.7123557760799465,NARNOOR ADILABAD
11-28-532-04312-569209,1,0,0,Holdout,NA,50.03782593975943,1.0269007423753416,NARNOOR ADILABAD
11-28-532-04312-569210,1,0,0,Holdout,NA,37.48399675391763,0.7692649185065288,NARNOOR ADILABAD
11-28-532-04312-569211,1,1,1,Holdout,NA,27.015549236444773,0.5544263174019928,NARNOOR ADILABAD
11-28-532-04312-569212,1,1,1,Holdout,NA,21.52154239886067,0.4416756214200674,NARNOOR ADILABAD
11-28-532-04312-569213,1,1,1,Holdout,NA,40.921782521949574,0.8398168397984225,NARNOOR ADILABAD
11-28-532-04312-569214,1,0,0,Holdout,NA,22.60092914911518,0.46382732434338975,NARNOOR ADILABAD
11-28-532-04312-569215,1,0,1,Holdout,NA,39.605089702741786,0.8127950256382196,NARNOOR ADILABAD
11-28-532-04312-569216,1,0,1,Holdout,NA,41.11424019888226,0.8437665503944811,NARNOOR ADILABAD
